timestamp,open,high,low,close,st,st_dir,ema21,psar,atr,rsi,prev_mid,signal,position,c1_below_st,c2_not_over,c3_psar,c4_ema,c5_rsi
2026-05-29 13:35:00+05:30,23773.05,23779.4,23765.95,23769.4,23829.26,DOWN,23819.2,23791.03,19.13,27.4,23778.97,-,FLAT,True,False,True,True,True
2026-05-29 13:40:00+05:30,23769.35,23780.3,23767.2,23773.4,23828.61,DOWN,23815.04,23786.05,18.7,29.5,23772.68,-,FLAT,True,False,True,True,True
2026-05-29 13:45:00+05:30,23773.15,23775.1,23751.65,23754.1,23819.78,DOWN,23809.5,23781.28,19.04,25.64,23773.75,-,FLAT,True,False,True,True,True
2026-05-29 13:50:00+05:30,23753.9,23762.95,23739.7,23746.05,23809.07,DOWN,23803.73,23780.3,19.34,24.21,23763.38,-,FLAT,True,False,True,True,True
2026-05-29 13:55:00+05:30,23746.35,23765.35,23743.55,23757.65,23809.07,DOWN,23799.54,23775.1,19.52,30.23,23751.33,-,FLAT,True,False,True,True,True
2026-05-29 14:00:00+05:30,23758.05,23759.5,23742.5,23747.15,23808.76,DOWN,23794.78,23768.02,19.34,28.06,23754.45,-,FLAT,True,False,True,True,True
2026-05-29 14:05:00+05:30,23747.5,23751.9,23731.25,23744.2,23799.75,DOWN,23790.18,23765.35,19.43,27.46,23751.0,-,FLAT,True,False,True,True,True
2026-05-29 14:10:00+05:30,23744.6,23751.4,23742.0,23744.45,23799.75,DOWN,23786.02,23759.5,18.71,27.6,23741.58,-,FLAT,True,False,True,True,True
2026-05-29 14:15:00+05:30,23743.8,23747.85,23734.55,23736.8,23794.85,DOWN,23781.55,23753.85,18.33,25.95,23746.7,-,FLAT,True,False,True,True,True
2026-05-29 14:20:00+05:30,23736.0,23753.2,23731.55,23749.35,23794.85,DOWN,23778.62,23731.25,18.56,33.05,23741.2,-,FLAT,True,False,False,True,True
2026-05-29 14:25:00+05:30,23749.15,23762.25,23742.8,23760.1,23794.85,DOWN,23776.94,23731.55,18.63,38.49,23742.38,-,FLAT,True,False,False,True,True
2026-05-29 14:30:00+05:30,23759.55,23802.05,23759.55,23792.55,23794.85,DOWN,23778.36,23731.55,20.33,51.34,23752.53,-,FLAT,False,True,False,False,False
2026-05-29 14:35:00+05:30,23792.65,23800.05,23782.3,23789.6,23794.85,DOWN,23779.38,23735.78,20.15,50.31,23780.8,-,FLAT,True,True,False,False,False
2026-05-29 14:40:00+05:30,23789.25,23795.05,23781.2,23786.1,23794.85,DOWN,23779.99,23739.76,19.7,49.05,23791.17,-,FLAT,True,True,False,False,True
2026-05-29 14:45:00+05:30,23786.75,23795.3,23778.05,23785.45,23794.85,DOWN,23780.49,23743.49,19.52,48.81,23788.12,-,FLAT,True,True,False,False,True
2026-05-29 14:50:00+05:30,23785.75,23787.9,23768.3,23776.6,23794.85,DOWN,23780.13,23747.01,19.53,45.49,23786.67,-,FLAT,True,True,False,True,True
2026-05-29 14:55:00+05:30,23775.65,23787.25,23752.25,23773.35,23794.85,DOWN,23779.52,23750.31,20.63,44.3,23778.1,-,FLAT,True,False,False,True,True
2026-05-29 15:00:00+05:30,23773.3,23773.3,23566.1,23569.4,23788.88,DOWN,23760.42,23802.05,33.96,16.01,23769.75,-,FLAT,True,False,True,True,True
2026-05-29 15:05:00+05:30,23569.4,23571.15,23511.05,23511.05,23666.39,DOWN,23737.75,23797.33,35.83,13.38,23669.7,-,FLAT,True,False,True,True,True
2026-05-29 15:10:00+05:30,23512.75,23529.35,23505.6,23528.7,23637.36,DOWN,23718.74,23785.88,34.97,17.78,23541.1,-,FLAT,True,False,True,True,True
2026-05-29 15:15:00+05:30,23528.7,23560.8,23525.4,23538.35,23637.36,DOWN,23702.34,23769.06,35.0,20.17,23517.47,-,FLAT,True,False,True,True,True
2026-05-29 15:20:00+05:30,23538.35,23540.8,23486.85,23490.5,23636.68,DOWN,23683.08,23753.26,36.35,17.46,23543.1,-,FLAT,True,False,True,True,True
2026-05-29 15:25:00+05:30,23490.5,23618.0,23484.75,23609.3,23636.68,DOWN,23676.38,23731.94,43.27,39.27,23513.82,SELL,SHORT,True,True,True,True,True
